Time start	Time end	Annotation	Layer
0	16	NARRATOR: On a fine Tuesday afternoon, a lovely group of academics, self-proclaimed “Existentialists”, finish up their work at the nearby conference. Having had enough human interaction for the day, the gang finally separate themselves from the others in an attempt to have a drink.	Transcript
17	26	Bea: How does this place look? “The Hellish Bar”? Sounds rather dull. Fits you nicely, Kay. And you, Enne, now that I think about it.	Transcript
26.1	26.5	Kay: How funny.	Transcript
27.1	27.9	Enne [completely unamused, rolling his eyes]: Hmph.	Transcript
27.2	28	The group walks into the bar, there is a ringing of the bell, announcing to the staff of their arrival. They all sit down at a nearby table, all looking around, noticing that they are the only ones in the store.	Transcript
28	33	Haytch: Well, I sure hope there is at least enough staff here to get us some drinks!	Transcript
28.3	29	[Quick laughter from everyone (besides Cee and Enne).]	Transcript
33	35	Cee [French accent, said with a layer of mystery and performance]: The mist beyond the sea grows close to shore.	Transcript
36	39	Ess [French accent]: Right, right… Does anyone know his deal?	Transcript
40	51.5	Bea [argumentative with French accent as well]: Oh, come on old friend, how has this not become obvious to you already! He only speaks in riddles to embrace this hideous reality. He gets it, unlike you cranky, serious academics! [laughing and saying jokingly]	Transcript
52	60	Ess [rolling eyes with tone]: Agh! Whatever. Enough of that. I just find it weird, even knowing him for years.	Transcript
61	63	Haytch [German]: The French and their drama.	Transcript
61.2	62	Swiftly as Haytch begins to rant about the French, the bartender comes out from the back and comes up to them and their table near the bar.	Transcript
64	69	Bartender: Hello, welcome to “The Hellish Bar”. What can I get y’all to start?	Transcript
68.9	70	Kay [quickly after]: I’ll take a coffee.	Transcript
71	74	Bea: A coffee? At a bar? What is your problem? [Begins to laugh]	Transcript
75	85	Enne: He is old and religious yet completely void of looking at his problem for what it is, what else do you need to answer that question. For me, water.	Transcript
85.1	85.9	Kay: Demon!	Transcript
87	88	Enne: Right.	Transcript
88.5	92	Bea [quietly to Ess]: Well, they make us look friendly! What is their history?	Transcript
92.1	96	Ess [whispering back to Bea]: They don’t even know each other! Just rivals from different times.	Transcript
96.2	98	Bea: How depressing…	Transcript
99	100	Ess [in agreement and to extend her comment]: … they are.	Transcript
101	102	Haytch: I’ll have some wine.	Transcript
103	110	Ess [in response]: Oh la la, will be getting to see your true self tonight, Haytch? Normally, you don’t come to things like this.	Transcript
110	114	Haytch: Hopefully not, and I usually don’t come because you all bring out the worst in me.	Transcript
114.2	121	Ess [in disappointment]: Oh, come on, old friend. We (and that wine!) bring out your true self! Don’t blame us!	Transcript
121.2	123	Haytch: Agh!	Transcript
123	135	Bea: Okay, enough, let’s give the poor boy our orders so he can get along without our nuisance. I’ll take the strongest you can give me, I’m ready to party!	Transcript
136	138	Ess: Same here.	Transcript
136.2	137	Both Enne and Kay look at them in disgust until they realize they are both doing the same thing, then being quiet again.	Transcript
138	140	Kay: Oh, come on… It’s a Tuesday.[quick stop when they realize in sync with Enne]	Transcript
140	141	Enne: Bleach my eyes… [quick stop when they realize in sync with Kay]	Transcript
146	150	Cee: [interrupting the silence]: So it was with me as I peacefully died of my cure.	Transcript
150	152	Bea: He’ll have water.	Transcript
152	154	Bartender: Of course, I’ll be right back.	Transcript
155	168	Ess [Before the Bartender could walk away]: Wait! Could you explain why no one else is here? I don’t hear anything behind the doors, the quiet is so filling. Could you break your role for one second and give me some clarity?	Transcript
168	178	Bartender [a little frantically]: Well, sir, I’m not sure. I’m just a bartender, so I don’t really pay attention to what goes on in the kitchen and back, but I guess it has been a little slow out front.	Transcript
179	193	Ess [sassily]: Agh, come on, you are not just a bartender! Anyways, one second– [turning towards the group] Do you guys want to try for somewhere else? This place is a little too creepy and quiet for me. How about the outdoor patio on the corner, it looked lovely.	Transcript
